Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportBFPostBirth,Long Parameter List,The method has 5 parameters. ,329
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportBFPostBirth,Long Statement,The length of the statement "if (SUBCENTER_SERVICE_PROVIDED_PLACE_VALUE.equalsIgnoreCase(deliveryPlace) || HOME_FIELD_VALUE.equalsIgnoreCase(deliveryPlace)) {" is 129.,329
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportLiveBirthByGender,Long Statement,The length of the statement "if (HOME_FIELD_VALUE.equalsIgnoreCase(deliveryPlace) || SUBCENTER_SERVICE_PROVIDED_PLACE_VALUE.equalsIgnoreCase(deliveryPlace)) {" is 129.,339
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportImmunizations,Long Parameter List,The method has 5 parameters. ,352
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportImmunizations,Long Statement,The length of the statement "logger.warn("Not reporting: Invalid immunization: " + immunizationProvidedThisTime + " for childCaseId: "+ child.caseId()+ " with immunizations provided: "+ immunizations);" is 172.,352
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportToBoth,Long Parameter List,The method has 5 parameters. ,367
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportToBoth,Long Statement,The length of the statement "if (!reportMonth.areDatesBelongToSameReportingMonth(LocalDate.parse(serviceProvidedDate)`LocalDate.parse(submissionDate))) return;" is 130.,367
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,report,Long Statement,The length of the statement "ReportingData serviceProvidedData=serviceProvidedData(child.anmIdentifier()`externalId`indicator`serviceProvidedDate`location`child.caseId());" is 142.,379
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceOnHand,Long Identifier,The length of the identifier infantBalanceOnHandReportToken is 30.,401
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceOnHand,Long Identifier,The length of the field allInfantBalanceOnHandReportTokens is 34.,401
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceOnHand,Long Statement,The length of the statement "logger.info(MessageFormat.format("Infant Balance (On Hand) was last reported on: {0}` so not reporting now: {1}."`infantBalanceOnHandReportToken.getLastReportedDate()`today));" is 175.,401
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceOnHand,Long Statement,The length of the statement "logger.info(MessageFormat.format("Infant Balance (On Hand) was last reported on: {0}` so reporting now: {1}."`infantBalanceOnHandReportToken.getLastReportedDate()`today));" is 171.,401
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceOnHand,Long Statement,The length of the statement "logger.info(MessageFormat.format("Found {0} children for reporting Infant Balance (On Hand) and Infant Balance (Total) "`childrenLessThanOneYearOld.size()));" is 157.,401
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceOnHand,Long Statement,The length of the statement "logger.info(MessageFormat.format("Reporting Infant Balance (On Hand) and Infant Balance (Total) on date: {0} for child: {1}."`startOfCurrentReportMonth.toString()`child));" is 171.,401
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceTurningOneYearOld,Long Statement,The length of the statement "logger.info(MessageFormat.format("Found {0} children for reporting Infant Balance (Turned One Year old) "`childrenTurnedOneYearOld.size()));" is 140.,430
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceTurningOneYearOld,Long Statement,The length of the statement "updateInfantBalanceIndicator(Indicator.INFANT_BALANCE_TURNING_ONE_YEAR`childrenTurnedOneYearOld`startOfCurrentReportMonth.toString());" is 134.,430
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceTotalNumberOfOAChildren,Long Statement,The length of the statement "logger.info(MessageFormat.format("Found {0} children for reporting Infant Balance (O/A children) "`outOfAreaChildren.size()));" is 126.,443
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceTotalNumberOfOAChildren,Long Statement,The length of the statement "updateInfantBalanceOAChildren(outOfAreaChildren`outOfAreaMothers`outOfAreaCouples`Indicator.INFANT_BALANCE_OA_CHILDREN`DateUtil.today().toString());" is 148.,443
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceLessThanOneYearOld,Long Statement,The length of the statement "logger.info(MessageFormat.format("Found {0} children for reporting Infant Balance (less than one year old) "`childrenLessThanOneYearOld.size()));" is 145.,456
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceLessThanOneYearOld,Long Statement,The length of the statement "updateInfantBalanceIndicator(Indicator.INFANT_BALANCE_LESS_THAN_ONE_YEAR`childrenLessThanOneYearOld`startOfCurrentReportMonth.toString());" is 138.,456
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportInfantBalanceLessThanOneYearOld,Long Statement,The length of the statement "updateInfantBalanceIndicator(Indicator.INFANT_BALANCE_BALANCE`childrenLessThanOneYearOld`startOfCurrentReportMonth.toString());" is 127.,456
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportChildBalanceLessThanFiveYearOld,Long Statement,The length of the statement "logger.info(MessageFormat.format("Found {0} children for reporting Infant Balance (less than five year old) "`childrenLessThanFiveYearOld.size()));" is 147.,470
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,reportChildBalanceLessThanFiveYearOld,Long Statement,The length of the statement "updateInfantBalanceIndicator(Indicator.INFANT_BALANCE_LESS_THAN_FIVE_YEAR`childrenLessThanFiveYearOld`startOfCurrentReportMonth.toString());" is 140.,470
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,getInfantBalanceOnHandReportToken,Long Identifier,The length of the identifier infantBalanceOnHandReportToken is 30.,482
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,getInfantBalanceOnHandReportToken,Long Identifier,The length of the field allInfantBalanceOnHandReportTokens is 34.,482
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,getInfantBalanceOnHandReportToken,Long Statement,The length of the statement "infantBalanceOnHandReportToken=new InfantBalanceOnHandReportToken(reportMonth.startOfCurrentReportMonth(today).minusMonths(1)).withId(UUID.randomUUID().toString());" is 164.,482
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,updateInfantBalanceIndicator,Long Statement,The length of the statement "ReportingData serviceProvidedDataForChild=serviceProvidedData(child.anmIdentifier()`externalId`indicator`date`location`child.caseId());" is 135.,495
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,updateInfantBalanceOAChildren,Long Parameter List,The method has 5 parameters. ,519
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,updateInfantBalanceOAChildren,Long Statement,The length of the statement "ReportingData serviceProvidedDataForChild=serviceProvidedData(child.anmIdentifier()`externalId`indicator`date`location`child.caseId());" is 135.,519
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,updateBothReports,Long Statement,The length of the statement "reportingService.updateReportData(buildReportDataRequest(SERVICE_PROVIDED_DATA_TYPE`indicator`reportingMonthStartDate`reportingMonthEndDate`serviceProvidedData));" is 162.,545
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReportingService,updateBothReports,Long Statement,The length of the statement "reportingService.updateReportData(buildReportDataRequest(ANM_REPORT_DATA_TYPE`indicator`reportingMonthStartDate`reportingMonthEndDate`anmReportData));" is 150.,545
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MCTSReporter,report,Long Parameter List,The method has 5 parameters. ,27
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MCTSReporter,report,Long Statement,The length of the statement "MCTSReport report=new MCTSReport(entityId`MCTSServiceCode.valueOf(indicator).messageFor(thayiCardNumber`LocalDate.parse(serviceProvidedDate))`registrationDate`serviceProvidedDate`getSendDate(LocalDate.parse(serviceProvidedDate)));" is 230.,27
SEL-columbia_dristhi,org.ei.drishti.service.reporting,FormSubmissionReportService,FormSubmissionReportService,Long Parameter List,The method has 5 parameters. ,32
SEL-columbia_dristhi,org.ei.drishti.service.reporting,FormSubmissionReportService,reportFor,Long Statement,The length of the statement "String entityId=reportIndicator.reportEntityIdField() == null ? submission.entityId() : submission.getField(reportIndicator.reportEntityIdField());" is 147.,41
SEL-columbia_dristhi,org.ei.drishti.service.reporting,FormSubmissionReportService,processRules,Long Statement,The length of the statement "logger.error(MessageFormat.format("Exception while applying rules. Indicator: {0}. Message: {1}"`indicator`e.getMessage()));" is 124.,63
SEL-columbia_dristhi,org.ei.drishti.service.reporting,FormSubmissionReportService,getServiceProvidedDate,Long Statement,The length of the statement "return reportIndicator.serviceProvidedDateField() == null ? submission.getField(SUBMISSION_DATE_FIELD_NAME) : submission.getField(reportIndicator.serviceProvidedDateField());" is 174.,100
SEL-columbia_dristhi,org.ei.drishti.service.reporting,FormSubmissionReportService,report,Long Statement,The length of the statement "SafeMap reportData=createReportData(submission`reportIndicator.formFields()`reportIndicator.quantityField()`reportIndicator.serviceProvidedPlaceField()`reportIndicator.externalIdField()`reportFields);" is 200.,112
SEL-columbia_dristhi,org.ei.drishti.service.reporting,FormSubmissionReportService,report,Long Statement,The length of the statement "String reportEntityId=reportIndicator.reportEntityIdField() == null ? submission.entityId() : submission.getField(reportIndicator.reportEntityIdField());" is 153.,112
SEL-columbia_dristhi,org.ei.drishti.service.reporting,FormSubmissionReportService,createReportData,Long Parameter List,The method has 6 parameters. ,122
SEL-columbia_dristhi,org.ei.drishti.service.reporting,EligibleCoupleReporter,report,Long Parameter List,The method has 5 parameters. ,25
SEL-columbia_dristhi,org.ei.drishti.service.reporting,EligibleCoupleReporter,report,Long Statement,The length of the statement "ecReportingService.reportIndicator(reportData`eligibleCouple`Indicator.from(reportIndicator)`serviceProvidedDate`reportData.get(SUBMISSION_DATE_FIELD_NAME));" is 157.,25
SEL-columbia_dristhi,org.ei.drishti.service.reporting,ChildReporterTest,shouldCallChildReportingService,Long Statement,The length of the statement "verify(childReportingService).reportToBoth(child`Indicator.from("INFANT_LEFT")`submission.getField("submissionDate")`submission.getField("submissionDate")`location);" is 165.,35
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MCTSReportDefinitionTest,shouldThrowNotUniqueExceptionWhenMoreThanOneMCTSFormIndicatorDefinitionExistsForAForm,Long Statement,The length of the statement "MCTSReportDefinition reportDefinition=new MCTSReportDefinition(asList(new MCTSFormIndicator("form 1"`Collections.<MCTSReportIndicator>emptyList())`new MCTSFormIndicator("form 1"`Collections.<MCTSReportIndicator>emptyList())));" is 226.,14
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MCTSReportDefinitionTest,shouldGetMCTSFormIndicatorForGivenForm,Long Statement,The length of the statement "MCTSReportDefinition reportDefinition=new MCTSReportDefinition(asList(new MCTSFormIndicator("form 1"`asList(new MCTSReportIndicator("form1Indicator")))`new MCTSFormIndicator("form 2"`asList(new MCTSReportIndicator("form2Indicator")))));" is 236.,23
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MCTSReportDefinitionTest,shouldReturnEmptyMCTSFormIndicatorListWhenThereIsNoDefinitionForGivenForm,Long Statement,The length of the statement "MCTSReportDefinition reportDefinition=new MCTSReportDefinition(asList(new MCTSFormIndicator("form 1"`asList(new MCTSReportIndicator("form1Indicator")))));" is 154.,37
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportANCRegistrationWhichHasBeenDoneAfterTwelveWeeksLMPAsLateRegistration,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,67
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportANCRegistrationWhichHasBeenDoneBeforeTwelveWeeksLMPAsEarlyRegistration,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,84
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportMTPIndicatorBasedOnMTPTime,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,101
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportMaternalDeath,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,112
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldDeleteReportsIfCloseReasonIsWrongEntry,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,124
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportMaternalDeathIfItIsNot,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,137
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportIfReasonIsNotDeath,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,148
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportIfReasonIsSpontaneousAbortion,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,159
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportTT1ProvidedIfTTDoseIsTT1,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,170
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportTT2AndSUBTTProvidedIfTTDoseIsTT2,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,186
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportTTBAndSUBTTProvidedIfTTDoseIsTTBooster,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,203
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportANC4ProvidedWhenANCVisitIsAfter36WeeksAndAlready3ANCVisitsHappened,Long Statement,The length of the statement "Mother mother=new Mother("CASE-1"`"EC-CASE-1"`"TC 1").withAnm("ANM X").withLMP(parse("2012-01-01")).withANCVisits(ancVisits);" is 125.,220
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportANC4ProvidedWhenANCVisitIsAfter36WeeksAndAlready3ANCVisitsHappened,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,220
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportANC4ProvidedWhenANCVisitIsAfter36WeeksAndAlready3ANCVisitsHappened,Magic Number,The method contains a magic number: 36,220
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportANC4WhenANCVisitHappenedIs4ButDoesNotHave3ANCVisitsAlready,Long Statement,The length of the statement "Mother mother=new Mother("CASE-1"`"EC-CASE-1"`"TC 1").withAnm("ANM X").withLMP(parse("2012-01-01")).withANCVisits(ancVisits);" is 125.,256
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportANC4WhenANCVisitHappenedIs4ButDoesNotHave3ANCVisitsAlready,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,256
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportANC4WhenANCVisitHappenedIs4ButDoesNotHave3ANCVisitsAlready,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,256
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportANC4WhenANCVisitHappenedIs4ButDoesNotHave3ANCVisitsAlready,Magic Number,The method contains a magic number: 36,256
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportANC4WhenANCVisitIsNotFourthVisit,Long Statement,The length of the statement "Mother mother=new Mother("CASE-1"`"EC-CASE-1"`"TC 1").withAnm("ANM X").withLMP(parse("2012-01-01")).withANCVisits(ancVisits);" is 125.,306
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportANC4WhenANCVisitIsNotFourthVisit,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,306
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportANC4WhenANCVisitIsNotFourthVisit,Magic Number,The method contains a magic number: 36,306
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportANC4WhenANCVisitIsBefore36Weeks,Long Statement,The length of the statement "Mother mother=new Mother("CASE-1"`"EC-CASE-1"`"TC 1").withAnm("ANM X").withLMP(parse("2012-01-01")).withANCVisits(ancVisits);" is 125.,339
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportANC4WhenANCVisitIsBefore36Weeks,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,339
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportANC4WhenANCVisitIsBefore36Weeks,Magic Number,The method contains a magic number: 36,339
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportANC4WhenVisitNumberIsInvalid,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,375
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportANC4WhenVisitNumberIsInvalid,Magic Number,The method contains a magic number: 36,375
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportDeliveryWhenDeliveryOutcomeIsUpdatedWithOutcome,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,392
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportDeliveryWhenDeliveryOutcomeIsUpdatedWithOutcome,Long Statement,The length of the statement "Map<String`String> reportData=create("id"`"CASE-1").put("didWomanSurvive"`"yes").put("didMotherSurvive"`"yes").put("deliveryOutcome"`"live_birth").put("referenceDate"`"2012-01-01").put("deliveryPlace"`"home").put("deliveryType"`"normal").put("submissionDate"`"2012-01-02").map();" is 279.,392
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportInstitutionalDeliveryAndNotReportLiveBirthWhenPlaceOfDeliveryIsNotHome,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,414
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportInstitutionalDeliveryAndNotReportLiveBirthWhenPlaceOfDeliveryIsNotHome,Long Statement,The length of the statement "Map<String`String> reportData=create("id"`"CASE-1").put("didWomanSurvive"`"yes").put("didMotherSurvive"`"yes").put("deliveryOutcome"`"live_birth").put("referenceDate"`"2012-01-01").put("deliveryPlace"`"phc").put("deliveryType"`"normal").put("submissionDate"`"2012-01-02").map();" is 278.,414
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportInstitutionalDeliveryAndReportLiveBirthAndNRHMLiveBirthWhenPlaceOfDeliveryIsHome,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,436
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldNotReportInstitutionalDeliveryAndReportLiveBirthAndNRHMLiveBirthWhenPlaceOfDeliveryIsHome,Long Statement,The length of the statement "Map<String`String> reportData=create("id"`"CASE-1").put("didWomanSurvive"`"yes").put("deliveryOutcome"`"live_birth").put("didMotherSurvive"`"yes").put("referenceDate"`"2012-01-01").put("deliveryPlace"`"home").put("deliveryType"`"normal").put("submissionDate"`"2012-01-02").map();" is 279.,436
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportLiveBirthAndNRHMLiveBirthWhenDeliveryOutcomeIsUpdatedWithOutcomeAsLiveBirthAndDeliveryPlaceIsSubCenter,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,459
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportLiveBirthAndNRHMLiveBirthWhenDeliveryOutcomeIsUpdatedWithOutcomeAsLiveBirthAndDeliveryPlaceIsSubCenter,Long Statement,The length of the statement "Map<String`String> reportData=create("id"`"CASE-1").put("didWomanSurvive"`"yes").put("didMotherSurvive"`"yes").put("deliveryOutcome"`"live_birth").put("referenceDate"`"2012-01-01").put("deliveryPlace"`"subcenter").put("deliveryType"`"normal").put("submissionDate"`"2012-01-02").map();" is 284.,459
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportStillBirthAndNRHMStillBirthWhenDeliveryOutcomeIsUpdatedWithOutcomeAsStillBirthAndDeliveryPlaceIsSubCenter,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,480
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportStillBirthAndNRHMStillBirthWhenDeliveryOutcomeIsUpdatedWithOutcomeAsStillBirthAndDeliveryPlaceIsSubCenter,Long Statement,The length of the statement "Map<String`String> reportData=create("id"`"CASE-1").put("didWomanSurvive"`"yes").put("didMotherSurvive"`"yes").put("deliveryOutcome"`"still_birth").put("referenceDate"`"2012-01-01").put("deliveryPlace"`"subcenter").put("deliveryType"`"normal").put("submissionDate"`"2012-01-02").map();" is 285.,480
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportMotherDeathDuringPregnancyOutcome,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,501
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportMotherDeathDuringPregnancyOutcome,Long Statement,The length of the statement "Map<String`String> reportData=create("id"`"CASE-1").put("didMotherSurvive"`"no").put("didWomanSurvive"`"").put("deliveryOutcome"`"live_birth").put("referenceDate"`"2012-01-01").put("deliveryPlace"`"home").put("deliveryType"`"normal").put("submissionDate"`"2012-01-02").map();" is 275.,501
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportWomanDeathDuringPregnancyOutcome,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,522
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportWomanDeathDuringPregnancyOutcome,Long Statement,The length of the statement "Map<String`String> reportData=create("id"`"CASE-1").put("didWomanSurvive"`"no").put("deliveryOutcome"`"live_birth").put("referenceDate"`"2012-01-01").put("deliveryPlace"`"home").put("deliveryType"`"normal").put("submissionDate"`"2012-01-02").map();" is 248.,522
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportCesareanWhenDeliveryOutcomeIsHandledAndDeliveryTypeIsCesarean,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,542
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportCesareanWhenDeliveryOutcomeIsHandledAndDeliveryTypeIsCesarean,Long Statement,The length of the statement "Map<String`String> reportData=create("id"`"CASE-1").put("didWomanSurvive"`"no").put("deliveryOutcome"`"live_birth").put("referenceDate"`"2012-01-01").put("deliveryPlace"`"home").put("deliveryType"`"cesarean").put("submissionDate"`"2012-01-02").map();" is 250.,542
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportCesareanPrivateFacilityWhenDeliveryOutcomeIsHandledAndDeliveryTypeIsCesareanAndDeliveryPlaceIsPrivateFacility,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,561
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportCesareanPrivateFacilityWhenDeliveryOutcomeIsHandledAndDeliveryTypeIsCesareanAndDeliveryPlaceIsPrivateFacility,Long Statement,The length of the statement "Map<String`String> reportData=create("id"`"CASE-1").put("didWomanSurvive"`"yes").put("didMotherSurvive"`"yes").put("deliveryOutcome"`"live_birth").put("referenceDate"`"2012-01-01").put("deliveryPlace"`"private_facility").put("deliveryType"`"cesarean").put("submissionDate"`"2012-01-02").map();" is 293.,561
SEL-columbia_dristhi,org.ei.drishti.service.reporting,MotherReportingServiceTest,shouldReportCesareanGovernmentFacilityWhenDeliveryOutcomeIsHandledAndDeliveryTypeIsCesareanAndDeliveryPlaceIsNotPrivateFacility,Long Statement,The length of the statement "when(allEligibleCouples.findByCaseId("EC-CASE-1")).thenReturn(new EligibleCouple().withLocation("bherya"`"Sub Center"`"PHC X"));" is 128.,581
